channel,fulltitle,mode,location,english
ALJAZAM,Al Jazeera America,cable,National,yes
BBCAMERICA,BBC America,cable,National,yes
BLOOMBERG,Bloomberg,cable,National,yes
CNBC,CNBC,cable,National,yes
CNN,CNN,cable,National,yes
CNNW,CNN San Francisco,cable,National,yes
COM,Comedy Central,cable,National,yes
CSPAN,CSPAN,cable,National,yes
CSPAN2,CSPAN,cable,National,yes
CSPAN3,CSPAN,cable,National,yes
CURRENT,Current,cable,National,yes
ENT,E Online,cable,National,yes
FBC,FOX Business,cable,National,yes
FOXNEWS,FNC,cable,National,yes
FOXNEWSW,FNCW,,San Francisco,yes
GALA,Galavision,cable,Miami,no
HLN,CNN,cable,National,yes
KBCW,CW,affiliate,San Franciso,yes
KCNS,KCNS,network,San Francisco,no
KCSM,PBSW,independent,San Franciso,yes
KCSMMHZ,KCSM,independent,San Franciso,
KDTV,Univision,network,San Franciso,no
KFSF,Univision,network,San Francisco,no
KGO,ABCW,affiliate,San Franciso,yes
KICU,NBCW,TV36,San Franciso,yes
KKPX,ION,affiliate,San Franciso,yes
KMTP,News-Arts,independent,San Franciso,yes
KNTV,NBCW,affiliate,San Franciso,ues
KOFY,KOFY,independent,San Franciso,yes
KPIX,CBSW,network,San Franciso,yes
KQED,PBS1,public,San Franciso,yes
KQEH,PBS2,public,San Franciso,yes
KRCB,PBS3,public,San Franciso,yes
KRON,MyNetworkTV,,San Franciso,yes
KSTS,Telemundo,,San Franciso,no
KTLN,TLN,,San Franciso,yes
KTNC,EstrellaTV,,San Franciso,no
KTSF,KTSF,independent,San Francisco,yes
KTVU,FOXW,affiliate,San Francisco,yes
LINKTV,LINKTV,independent,National,yes
MSNBC,MSNBC,cable,National,yes
MSNBCW,MSNBCW,cable,San Francisco,yes
SFGTV,San Francisco Government TV,public,San Francisco,yes
SFGTV2,San Francisco Government TV,public,San Francisco,yes
TBN,Trinity Broadcasting Network,network,National,yes
WBAL,NBC,affiliate,DC,yes
WBFF,FOX,affiliate,DC,yes
WETA,PBS2,public,DC,yes
WFDC,Univision,affiliate,DC,no
WGN,CW,network,Chicago,yes
WHUT,Howard University Television,PBS,DC,yes
WJLA,ABC,affiliate,DC,yes
WJZ,CBS1,,DC,yes
WMAR,ABC,affiliate,Baltimore,yes
WMDO,TeleFuturo,,DC,no
WMPT,PBS1,public,Baltimore,yes
WNUV,CW,network,DC,yes
WPXW,ION,affiliate,DC,yes
WQAW,Una Vez Mas,affiliate,DC,no
WRC,NBC,network,DC,yes
WTTG,FOX,network,DC,yes
WUSA,CBS2,affiliate,DC,yes
WZDC,Telemundo,affiliate,DC,no
