origin_topic_q4,origin_topic_q1,origin_topic_q0,origin_topic_q3,origin_topic_q2,word4_q0,word2_q4,word1_q4,word2_q2,word1_q2,word2_q0,word1_q0,intruder_topic_q2,intruder_topic_q3,intruder_topic_q0,intruder_topic_q1,word3_q3,intruder_topic_q4,word0_q4,word4_q1,intruder_task_index_q3,intruder_source_index_q2,intruder_source_index_q3,intruder_source_index_q0,intruder_source_index_q1,intruder_source_index_q4,word5_q3,word5_q2,word5_q1,word5_q0,word0_q0,word0_q1,word0_q2,word0_q3,intruder_task_index_q4,word1_q3,word5_q4,intruder_task_index_q0,intruder_task_index_q1,intruder_task_index_q2,intruder_token_q1,intruder_token_q4,intruder_token_q0,word1_q1,intruder_token_q2,intruder_token_q3,word2_q3,word2_q1,word4_q3,word3_q1,word3_q0,word4_q2,word3_q2,word4_q4,word3_q4
11,14,23,26,11,arthritis,amendment,gentleman,yield,olympics,chantix,celebrex,8,12,1,23,investors,12,yield,pakistan,2,3,5,3,8,8,fed,tempore,aspirin,cloudy,bleeding,nuclear,gentleman,earnings,4,stocks,tempore,5,5,1,aspirin,russian,cloudy,libya,olympics,syrian,syrian,taliban,trading,korea,cialis,chair,amendment,russian,chair
20,13,0,27,29,abc,institutions,veterans,allegations,sandusky,cialis,ship,17,11,23,21,jose,15,pope,palin,0,18,10,0,12,8,ktvu,abuse,liberal,haiti,passengers,bomb,sexual,consent,2,santa,background,2,0,4,bomb,institutions,cialis,voter,miami,consent,fog,sarah,oakland,voting,earthquake,miami,jackson,mental,guns
18,12,17,3,25,score,jon,urge,iowa,rick,giants,limit,27,25,28,28,debates,11,jenna,default,3,4,18,18,17,16,gonna,gingrich,russia,nbc,league,egypt,santorum,que,1,las,aarp,1,4,4,default,urge,limit,syria,ktvu,debates,color,israel,kitchen,regime,baseball,ktvu,newt,supplement,martha
13,23,17,4,11,baseball,voter,balanced,amendment,tempore,tavis,league,27,10,4,10,lincoln,28,palin,arthritis,2,14,4,0,4,15,kennedy,chair,chantix,nbc,score,island,gentleman,character,1,film,voting,2,0,4,island,balanced,tavis,celebrex,channel,island,island,cialis,tavis,bleeding,giants,channel,yield,sarah,liberal
21,4,2,8,7,delays,whe,fbi,spill,advair,jury,laden,2,26,1,18,bowl,19,terrorist,film,4,2,7,10,14,10,olympics,martin,tavis,martin,zimmerman,lincoln,cbs,olympic,2,nfl,qaeda,4,3,5,unitedhealthcare,whe,delays,character,martin,tdd,tiger,kennedy,tdd,unitedhealthcare,bin,gulf,copd,border,immigration
19,25,23,21,21,celebrex,tte,cloudy,fbi,qaeda,jury,bleeding,2,15,2,6,immigration,1,thh,santorum,2,2,1,0,6,3,fbi,martin,newt,cialis,chantix,rick,immigration,terrorist,1,border,thi,2,3,5,opportunities,cloudy,jury,gingrich,martin,authority,authority,iowa,qaeda,opportunities,arthritis,border,terrorist,tha,melissa
1,15,3,13,2,las,beltway,cloudy,zimmerman,jury,gonna,kitchen,15,5,29,5,sarah,20,background,commission,2,17,9,15,5,4,liberal,mortgage,testimony,arrest,color,supreme,bin,palin,0,voting,metro,5,3,5,infections,background,arrest,authority,mortgage,piers,piers,agencies,voter,infections,que,laden,martin,baltimore,avenue
7,3,7,17,20,gulf,copd,planes,mental,background,spill,colleagues,25,23,11,23,nbc,0,advair,las,1,17,14,5,10,13,baseball,michele,prostate,cbs,advair,color,veterans,league,1,nsaids,gulf,1,5,5,prostate,planes,colleagues,gonna,michele,nsaids,score,kitchen,giants,que,copd,guns,pope,cbs,spill
7,24,14,29,9,korea,cbs,advair,nbc,ads,pakistan,nuclear,25,11,16,12,abuse,14,japan,healthcare,0,15,0,12,19,6,jackson,calories,neil,libya,taliban,irs,fiber,gentleman,0,allegations,spill,3,2,1,nations,japan,inches,obamacare,ads,gentleman,sandusky,nations,sexual,lou,inches,wedding,delicious,copd,gulf
7,15,27,25,3,oakland,gulf,copd,las,que,ktvu,santa,19,11,29,21,santorum,4,charlie,supreme,1,10,15,17,8,12,iowa,color,agencies,jose,fog,commission,gonna,gingrich,0,clerk,cbs,3,1,4,terrorism,charlie,allegedly,terrorism,whe,clerk,rick,testimony,newt,authority,allegedly,whe,kitchen,advair,spill
