origin_topic_q5,origin_topic_q4,origin_topic_q1,origin_topic_q3,origin_topic_q2,intruder_task_index_q5,word2_q4,word1_q4,word2_q2,word1_q2,word1_q1,word2_q1,intruder_topic_q2,intruder_topic_q3,intruder_topic_q1,word3_q3,intruder_topic_q4,intruder_topic_q5,word0_q4,word4_q3,word0_q5,word3_q5,word4_q5,intruder_source_index_q2,intruder_source_index_q3,intruder_source_index_q1,intruder_source_index_q4,intruder_source_index_q5,word5_q3,word5_q2,word5_q1,word0_q1,word0_q2,word0_q3,word2_q5,word5_q5,intruder_task_index_q4,word1_q3,word5_q4,intruder_task_index_q1,intruder_task_index_q2,intruder_task_index_q3,intruder_token_q4,intruder_token_q5,intruder_token_q1,intruder_token_q2,intruder_token_q3,word2_q3,word1_q5,word3_q1,word4_q1,word4_q2,word3_q2,word4_q4,word3_q4
19,5,5,22,9,1,enbrel,cymbalta,oakland,nbc,enbrel,cymbalta,27,13,25,liberal,18,5,cnn,supreme,tte,melissa,thh,0,3,6,17,8,marriage,wedding,wolf,anderson,calories,religion,tha,thi,3,religious,wolf,3,2,3,accepts,carol,cain,oakland,liberal,gay,carol,cain,cnn,fiber,delicious,anderson,accepts
21,25,7,7,26,5,christie,santorum,trading,investors,copd,advair,7,9,27,matt,13,16,rick,gulf,immigration,qaeda,fbi,19,14,4,15,13,cbs,heartburn,gulf,ktvu,stocks,spill,terrorist,eve,2,advair,iowa,0,5,3,christie,eve,ktvu,heartburn,matt,copd,border,cbs,spill,earnings,fed,newt,gingrich
12,28,3,17,6,0,compromise,boehner,climate,teachers,color,identity,8,25,18,league,3,7,fiscal,hampshire,cholesterol,regime,syria,18,7,6,3,16,baseball,chinese,kitchen,gonna,caller,giants,egypt,russia,3,nbc,ceiling,2,3,4,color,cholesterol,identity,stadium,hampshire,score,israel,las,que,guest,stadium,ryan,color
10,11,1,8,22,2,chair,protests,marriage,religious,metro,beltway,21,29,28,tiger,12,2,amendment,olympic,hurricane,flooding,tornado,8,5,18,17,0,drugs,religion,cloudy,baltimore,gay,nfl,jury,island,1,bowl,tempore,3,4,5,protests,jury,limit,terrorism,drugs,olympics,flood,limit,avenue,terrorism,supreme,yield,gentleman
2,27,8,2,6,5,ktvu,motion,ktvu,caller,connecticut,olympics,27,29,20,martin,23,3,santa,allegedly,bin,zimmerman,martin,4,17,18,19,12,jury,chinese,bowl,tiger,climate,bin,laden,bedroom,1,laden,oakland,1,2,4,motion,bedroom,connecticut,ktvu,allegedly,zimmerman,jury,olympic,nfl,teachers,guest,jose,fog
25,4,24,29,2,1,lincoln,tavis,jury,zimmerman,healthcare,lou,21,9,19,abuse,10,26,character,allegations,rick,iowa,santorum,17,8,14,5,4,breakfast,immigrants,irs,neil,martin,sandusky,newt,gingrich,5,sexual,sandy,4,5,5,sandy,earnings,wit,immigrants,breakfast,jackson,earnings,obamacare,wit,laden,bin,film,kennedy
21,3,7,28,9,0,color,que,delicious,agents,gulf,advair,21,6,8,boehner,4,8,gonna,compromise,gold,border,fbi,16,11,11,9,8,ceiling,calories,copd,sport,fiber,fiscal,terrorist,immigration,5,infrastructure,famous,0,1,1,famous,gold,sport,agents,infrastructure,ryan,qaeda,spill,cbs,wedding,nbc,las,kitchen
29,11,19,18,0,0,chair,pilots,taxpayer,abc,tte,fog,24,17,27,animals,0,28,gentleman,aarp,limit,allegations,jackson,18,8,2,10,18,martha,passengers,thi,tha,haiti,jon,sandusky,abuse,1,jenna,amendment,2,2,3,pilots,limit,fog,taxpayer,animals,supplement,sexual,melissa,thh,ship,earthquake,yield,tempore
1,13,29,5,10,3,sarah,melissa,island,flooding,abuse,jackson,9,27,5,anderson,19,26,voter,skies,cloudy,shares,metro,10,11,11,0,8,cnn,tornado,sandusky,allegations,sugar,wolf,beltway,avenue,1,cymbalta,palin,4,0,4,melissa,shares,mutual,sugar,skies,enbrel,baltimore,sexual,mutual,flood,hurricane,voting,liberal
14,9,13,12,11,3,delicious,stomach,yield,chair,liberal,aut,24,24,19,regime,23,7,wedding,syria,libya,breathing,taliban,4,9,15,5,13,russia,amendment,voting,voter,tempore,egypt,korea,nuclear,1,charles,calories,2,3,1,stomach,breathing,aut,lou,charles,israel,pakistan,sarah,palin,gentleman,lou,nbc,fiber
7,25,9,10,26,5,newt,santorum,fed,investors,fiber,wedding,7,25,4,michigan,16,4,stores,flood,spill,cbs,advair,2,14,1,7,14,flooding,stocks,nbc,kennedy,earnings,tornado,copd,british,0,island,gingrich,0,4,3,stores,british,kennedy,advair,michigan,hurricane,gulf,delicious,calories,advair,trading,iowa,rick
6,20,19,22,29,3,amendment,mental,jackson,cheese,thi,tte,9,2,27,marriage,11,17,pope,religion,teachers,hits,chinese,15,11,6,1,6,guilty,sexual,tha,melissa,allegations,supreme,climate,caller,2,religious,guns,4,1,5,amendment,hits,inland,cheese,guilty,gay,guest,thh,inland,sandusky,abuse,veterans,background
6,3,22,15,6,2,que,las,chinese,climate,courtroom,gay,18,19,2,authority,8,21,gonna,testimony,chinese,climate,caller,7,11,14,14,17,commission,guide,marriage,religion,guest,supreme,immigrants,teachers,5,agencies,london,1,5,2,london,immigrants,courtroom,guide,hav,hav,guest,supreme,religious,teachers,caller,color,kitchen
24,25,14,10,6,3,iowa,gingrich,cruise,climate,taliban,libya,0,19,11,hurricane,8,10,newt,tornado,obamacare,hurricane,lou,15,19,18,9,0,island,guest,pakistan,motion,teachers,flooding,neil,healthcare,5,wee,athletes,0,2,1,athletes,hurricane,motion,cruise,wee,flood,irs,korea,nuclear,caller,chinese,santorum,rick
12,21,19,27,9,4,border,terrorist,nbc,mississippi,tha,melissa,10,4,10,oakland,17,3,immigration,santa,egypt,regime,kitchen,19,9,13,13,2,jose,delicious,tte,thi,calories,fog,syria,russia,3,famous,fbi,4,1,1,yankees,kitchen,roads,mississippi,famous,ktvu,israel,thh,roads,fiber,wedding,qaeda,yankees
27,1,29,17,24,5,avenue,character,terrorist,healthcare,sexual,allegations,21,8,21,tournament,4,5,baltimore,league,ktvu,santa,fog,4,15,3,4,13,score,lou,jackson,sandusky,neil,nbc,jose,christine,1,baseball,metro,3,2,3,character,christine,qaeda,terrorist,tournament,giants,oakland,qaeda,abuse,obamacare,irs,cloudy,beltway
16,23,7,3,17,2,cialis,chantix,giants,league,advair,cbs,13,29,11,color,15,7,celebrex,alleged,christmas,shopping,flu,17,7,0,11,11,kitchen,african,spill,gentleman,score,las,spiriva,thanksgiving,4,gonna,bleeding,0,5,4,consumer,spiriva,gentleman,african,alleged,que,holiday,gulf,copd,baseball,nbc,consumer,arthritis
0,18,1,16,10,0,supplement,aarp,las,flooding,aleve,avenue,3,18,23,flu,9,8,martha,jon,bowl,ship,passengers,4,0,18,3,0,holiday,island,metro,cloudy,flood,christmas,abc,earthquake,4,thanksgiving,jenna,1,2,4,fiber,bowl,aleve,las,jon,shopping,haiti,beltway,baltimore,tornado,hurricane,fiber,jon
12,24,16,13,25,3,lou,healthcare,gingrich,newt,santa,christmas,5,11,27,voter,15,0,neil,sarah,syria,airline,russia,6,11,3,7,14,liberal,iowa,holiday,flu,rick,amendments,egypt,israel,5,palin,oversight,1,3,0,oversight,airline,santa,newsroom,amendments,voting,regime,thanksgiving,shopping,santorum,newsroom,obamacare,irs
13,7,1,17,25,0,advair,copd,gingrich,rick,beltway,stadium,22,12,8,baseball,15,15,spill,giants,oversight,sarah,voting,8,1,18,12,7,nbc,santorum,avenue,cloudy,newt,israel,palin,liberal,3,score,cbs,2,4,0,appropriate,oversight,stadium,pbs,israel,league,voter,metro,baltimore,pbs,iowa,gulf,appropriate
19,5,12,16,0,0,enbrel,wolf,haiti,passengers,una,regime,17,26,3,christmas,11,22,cymbalta,flu,supreme,tte,thi,4,2,8,17,4,holiday,earthquake,egypt,israel,score,thanksgiving,tha,melissa,5,shopping,representatives,1,0,2,representatives,supreme,una,score,fed,fed,thh,syria,russia,abc,ship,cnn,anderson
19,8,12,25,14,5,madam,olympics,korea,taliban,syria,regime,7,10,13,santorum,11,5,nfl,gingrich,thh,melissa,tte,4,3,7,12,14,newt,libya,mccain,egypt,pakistan,tornado,thi,outfront,2,iowa,bowl,5,4,0,madam,outfront,mccain,copd,tornado,rick,tha,israel,russia,copd,nuclear,olympic,tiger
