word8_q0,origin_topic_q0,word2_q0,word1_q0,word6_q0,word5_q0,word0_q0,word4_q0,word3_q0,word7_q0
gold,8,olympic,tiger,golf,coach,bowl,nfl,olympics,woods
shares,26,fed,investors,dow,apple,stocks,earnings,trading,tdd
objection,11,tempore,amendment,recognized,colleagues,gentleman,chair,yield,presiding
institutions,15,commission,authority,panel,review,supreme,agencies,testimony,oversight
nasa,18,supplement,martha,identity,lifelock,jon,jenna,aarp,guide
una,3,kitchen,que,para,hoveround,gonna,las,color,chair
hillary,13,sarah,palin,msnbc,abortion,voting,voter,liberal,mccain
warmer,27,fog,jose,inland,abc,oakland,ktvu,santa,cooler
murray,29,abuse,sexual,guilty,drugs,jackson,allegations,sandusky,alleged
nasa,18,supplement,martha,identity,lifelock,jon,jenna,aarp,guide
prosecution,2,martin,zimmerman,brain,trayvon,jury,laden,bin,anthony
aspirin,23,celebrex,chantix,allergic,stomach,cialis,bleeding,arthritis,christie
warmer,27,fog,jose,inland,abc,oakland,ktvu,santa,cooler
loop,1,metro,beltway,temperature,storms,baltimore,avenue,cloudy,skies
lung,7,advair,cbs,symbicort,tdd,gulf,copd,spill,medicines
lung,7,advair,cbs,symbicort,tdd,gulf,copd,spill,medicines
warmer,27,fog,jose,inland,abc,oakland,ktvu,santa,cooler
prosecution,2,martin,zimmerman,brain,trayvon,jury,laden,bin,anthony
una,3,kitchen,que,para,hoveround,gonna,las,color,chair
objection,11,tempore,amendment,recognized,colleagues,gentleman,chair,yield,presiding
objection,11,tempore,amendment,recognized,colleagues,gentleman,chair,yield,presiding
ron,25,newt,rick,cain,perry,gingrich,santorum,iowa,hampshire
terrorism,21,fbi,border,terror,megyn,immigration,terrorist,qaeda,enforcement
prosecution,2,martin,zimmerman,brain,trayvon,jury,laden,bin,anthony
giffords,20,pope,veterans,memorial,assault,guns,background,mental,tragedy
animals,17,league,nbc,hits,inning,baseball,score,giants,yards
loop,1,metro,beltway,temperature,storms,baltimore,avenue,cloudy,skies
giffords,20,pope,veterans,memorial,assault,guns,background,mental,tragedy
trillion,28,ceiling,fiscal,revenue,cliff,boehner,compromise,ryan,stimulus
shares,26,fed,investors,dow,apple,stocks,earnings,trading,tdd
song,4,film,kennedy,audience,art,tavis,character,lincoln,movies
terrorism,21,fbi,border,terror,megyn,immigration,terrorist,qaeda,enforcement
hillary,13,sarah,palin,msnbc,abortion,voting,voter,liberal,mccain
terrorism,21,fbi,border,terror,megyn,immigration,terrorist,qaeda,enforcement
thee,19,thh,tha,ing,dot,melissa,thi,tte,ere
russian,12,egypt,israel,opposition,syrian,syria,regime,russia,assad
aspirin,23,celebrex,chantix,allergic,stomach,cialis,bleeding,arthritis,christie
stuart,24,irs,neil,affordable,gerri,obamacare,lou,healthcare,wage
murray,29,abuse,sexual,guilty,drugs,jackson,allegations,sandusky,alleged
una,3,kitchen,que,para,hoveround,gonna,las,color,chair
loop,1,metro,beltway,temperature,storms,baltimore,avenue,cloudy,skies
airlines,0,haiti,ship,lunesta,pilot,abc,earthquake,passengers,aircraft
terrorism,21,fbi,border,terror,megyn,immigration,terrorist,qaeda,enforcement
hillary,13,sarah,palin,msnbc,abortion,voting,voter,liberal,mccain
giffords,20,pope,veterans,memorial,assault,guns,background,mental,tragedy
prosecution,2,martin,zimmerman,brain,trayvon,jury,laden,bin,anthony
russian,12,egypt,israel,opposition,syrian,syria,regime,russia,assad
shares,26,fed,investors,dow,apple,stocks,earnings,trading,tdd
objection,11,tempore,amendment,recognized,colleagues,gentleman,chair,yield,presiding
russian,12,egypt,israel,opposition,syrian,syria,regime,russia,assad
breakfast,9,calories,nbc,honey,chicken,delicious,wedding,fiber,sweet
nasa,18,supplement,martha,identity,lifelock,jon,jenna,aarp,guide
song,4,film,kennedy,audience,art,tavis,character,lincoln,movies
institutions,15,commission,authority,panel,review,supreme,agencies,testimony,oversight
gold,8,olympic,tiger,golf,coach,bowl,nfl,olympics,woods
airlines,0,haiti,ship,lunesta,pilot,abc,earthquake,passengers,aircraft
