origin_topic_q1,origin_topic_q0,origin_topic_q2,words_q1,words_q0,words_q2
12,14,26,"syria, israel, egypt, russia, regime, syrian, opposition, assad, russian","nuclear, libya, pakistan, korea, taliban, afghan, japan, gadhafi, nato","stocks, investors, fed, trading, earnings, apple, dow, tdd, shares"
11,14,29,"gentleman, amendment, tempore, yield, chair, colleagues, recognized, presiding, objection","nuclear, libya, pakistan, korea, taliban, afghan, japan, gadhafi, nato","jackson, sexual, abuse, sandusky, allegations, drugs, guilty, alleged, murray"
11,24,29,"gentleman, amendment, tempore, yield, chair, colleagues, recognized, presiding, objection","obamacare, neil, irs, healthcare, lou, gerri, affordable, wage, stuart","jackson, sexual, abuse, sandusky, allegations, drugs, guilty, alleged, murray"
16,7,0,"christmas, holiday, flu, thanksgiving, shopping, ice, holidays, stores, vaccine","gulf, cbs, advair, spill, copd, tdd, symbicort, medicines, lung","abc, ship, haiti, passengers, earthquake, pilot, lunesta, aircraft, airlines"
6,16,3,"guest, caller, teachers, climate, chinese, poverty, opportunities, century, african","christmas, holiday, flu, thanksgiving, shopping, ice, holidays, stores, vaccine","gonna, que, kitchen, color, las, hoveround, para, chair, una"
16,19,10,"christmas, holiday, flu, thanksgiving, shopping, ice, holidays, stores, vaccine","melissa, tha, thh, tte, thi, dot, ing, ere, thee","hurricane, flooding, flood, tornado, island, sandy, river, storms, tropical"
20,17,22,"guns, veterans, pope, mental, background, assault, memorial, tragedy, giffords","baseball, nbc, league, giants, score, inning, hits, yards, animals","marriage, gay, religious, religion, supreme, faith, catholic, newshour, pbs"
17,14,24,"baseball, nbc, league, giants, score, inning, hits, yards, animals","nuclear, libya, pakistan, korea, taliban, afghan, japan, gadhafi, nato","obamacare, neil, irs, healthcare, lou, gerri, affordable, wage, stuart"
7,9,15,"gulf, cbs, advair, spill, copd, tdd, symbicort, medicines, lung","delicious, nbc, calories, fiber, wedding, chicken, honey, sweet, breakfast","supreme, authority, commission, testimony, agencies, review, panel, oversight, institutions"
28,10,24,"boehner, fiscal, ceiling, ryan, compromise, cliff, revenue, stimulus, trillion","hurricane, flooding, flood, tornado, island, sandy, river, storms, tropical","obamacare, neil, irs, healthcare, lou, gerri, affordable, wage, stuart"
0,20,8,"abc, ship, haiti, passengers, earthquake, pilot, lunesta, aircraft, airlines","guns, veterans, pope, mental, background, assault, memorial, tragedy, giffords","bowl, tiger, olympic, olympics, nfl, coach, golf, woods, gold"
21,23,27,"immigration, border, fbi, qaeda, terrorist, megyn, terror, enforcement, terrorism","cialis, chantix, celebrex, arthritis, bleeding, stomach, allergic, christie, aspirin","oakland, jose, fog, santa, ktvu, abc, inland, cooler, warmer"
2,25,11,"jury, zimmerman, martin, bin, laden, trayvon, brain, anthony, prosecution","gingrich, rick, newt, iowa, santorum, perry, cain, hampshire, ron","gentleman, amendment, tempore, yield, chair, colleagues, recognized, presiding, objection"
4,26,2,"tavis, kennedy, film, lincoln, character, art, audience, movies, song","stocks, investors, fed, trading, earnings, apple, dow, tdd, shares","jury, zimmerman, martin, bin, laden, trayvon, brain, anthony, prosecution"
26,11,15,"stocks, investors, fed, trading, earnings, apple, dow, tdd, shares","gentleman, amendment, tempore, yield, chair, colleagues, recognized, presiding, objection","supreme, authority, commission, testimony, agencies, review, panel, oversight, institutions"
4,3,15,"tavis, kennedy, film, lincoln, character, art, audience, movies, song","gonna, que, kitchen, color, las, hoveround, para, chair, una","supreme, authority, commission, testimony, agencies, review, panel, oversight, institutions"
21,4,5,"immigration, border, fbi, qaeda, terrorist, megyn, terror, enforcement, terrorism","tavis, kennedy, film, lincoln, character, art, audience, movies, song","cnn, wolf, cymbalta, anderson, enbrel, infections, newsroom, boston, carol"
10,22,11,"hurricane, flooding, flood, tornado, island, sandy, river, storms, tropical","marriage, gay, religious, religion, supreme, faith, catholic, newshour, pbs","gentleman, amendment, tempore, yield, chair, colleagues, recognized, presiding, objection"
22,4,17,"marriage, gay, religious, religion, supreme, faith, catholic, newshour, pbs","tavis, kennedy, film, lincoln, character, art, audience, movies, song","baseball, nbc, league, giants, score, inning, hits, yards, animals"
15,21,23,"supreme, authority, commission, testimony, agencies, review, panel, oversight, institutions","immigration, border, fbi, qaeda, terrorist, megyn, terror, enforcement, terrorism","cialis, chantix, celebrex, arthritis, bleeding, stomach, allergic, christie, aspirin"
12,8,29,"syria, israel, egypt, russia, regime, syrian, opposition, assad, russian","bowl, tiger, olympic, olympics, nfl, coach, golf, woods, gold","jackson, sexual, abuse, sandusky, allegations, drugs, guilty, alleged, murray"
29,2,18,"jackson, sexual, abuse, sandusky, allegations, drugs, guilty, alleged, murray","jury, zimmerman, martin, bin, laden, trayvon, brain, anthony, prosecution","jon, martha, supplement, aarp, jenna, lifelock, identity, guide, nasa"
17,0,1,"baseball, nbc, league, giants, score, inning, hits, yards, animals","abc, ship, haiti, passengers, earthquake, pilot, lunesta, aircraft, airlines","baltimore, beltway, metro, cloudy, avenue, storms, temperature, skies, loop"
3,14,2,"gonna, que, kitchen, color, las, hoveround, para, chair, una","nuclear, libya, pakistan, korea, taliban, afghan, japan, gadhafi, nato","jury, zimmerman, martin, bin, laden, trayvon, brain, anthony, prosecution"
18,23,18,"jon, martha, supplement, aarp, jenna, lifelock, identity, guide, nasa","cialis, chantix, celebrex, arthritis, bleeding, stomach, allergic, christie, aspirin","jon, martha, supplement, aarp, jenna, lifelock, identity, guide, nasa"
28,7,26,"boehner, fiscal, ceiling, ryan, compromise, cliff, revenue, stimulus, trillion","gulf, cbs, advair, spill, copd, tdd, symbicort, medicines, lung","stocks, investors, fed, trading, earnings, apple, dow, tdd, shares"
1,10,2,"baltimore, beltway, metro, cloudy, avenue, storms, temperature, skies, loop","hurricane, flooding, flood, tornado, island, sandy, river, storms, tropical","jury, zimmerman, martin, bin, laden, trayvon, brain, anthony, prosecution"
19,19,10,"melissa, tha, thh, tte, thi, dot, ing, ere, thee","melissa, tha, thh, tte, thi, dot, ing, ere, thee","hurricane, flooding, flood, tornado, island, sandy, river, storms, tropical"
12,29,11,"syria, israel, egypt, russia, regime, syrian, opposition, assad, russian","jackson, sexual, abuse, sandusky, allegations, drugs, guilty, alleged, murray","gentleman, amendment, tempore, yield, chair, colleagues, recognized, presiding, objection"
26,19,12,"stocks, investors, fed, trading, earnings, apple, dow, tdd, shares","melissa, tha, thh, tte, thi, dot, ing, ere, thee","syria, israel, egypt, russia, regime, syrian, opposition, assad, russian"
10,28,20,"hurricane, flooding, flood, tornado, island, sandy, river, storms, tropical","boehner, fiscal, ceiling, ryan, compromise, cliff, revenue, stimulus, trillion","guns, veterans, pope, mental, background, assault, memorial, tragedy, giffords"
6,28,28,"guest, caller, teachers, climate, chinese, poverty, opportunities, century, african","boehner, fiscal, ceiling, ryan, compromise, cliff, revenue, stimulus, trillion","boehner, fiscal, ceiling, ryan, compromise, cliff, revenue, stimulus, trillion"
13,6,14,"voting, palin, sarah, liberal, voter, abortion, msnbc, mccain, hillary","guest, caller, teachers, climate, chinese, poverty, opportunities, century, african","nuclear, libya, pakistan, korea, taliban, afghan, japan, gadhafi, nato"
25,20,15,"gingrich, rick, newt, iowa, santorum, perry, cain, hampshire, ron","guns, veterans, pope, mental, background, assault, memorial, tragedy, giffords","supreme, authority, commission, testimony, agencies, review, panel, oversight, institutions"
28,7,0,"boehner, fiscal, ceiling, ryan, compromise, cliff, revenue, stimulus, trillion","gulf, cbs, advair, spill, copd, tdd, symbicort, medicines, lung","abc, ship, haiti, passengers, earthquake, pilot, lunesta, aircraft, airlines"
2,21,24,"jury, zimmerman, martin, bin, laden, trayvon, brain, anthony, prosecution","immigration, border, fbi, qaeda, terrorist, megyn, terror, enforcement, terrorism","obamacare, neil, irs, healthcare, lou, gerri, affordable, wage, stuart"
9,29,3,"delicious, nbc, calories, fiber, wedding, chicken, honey, sweet, breakfast","jackson, sexual, abuse, sandusky, allegations, drugs, guilty, alleged, murray","gonna, que, kitchen, color, las, hoveround, para, chair, una"
0,10,24,"abc, ship, haiti, passengers, earthquake, pilot, lunesta, aircraft, airlines","hurricane, flooding, flood, tornado, island, sandy, river, storms, tropical","obamacare, neil, irs, healthcare, lou, gerri, affordable, wage, stuart"
5,17,9,"cnn, wolf, cymbalta, anderson, enbrel, infections, newsroom, boston, carol","baseball, nbc, league, giants, score, inning, hits, yards, animals","delicious, nbc, calories, fiber, wedding, chicken, honey, sweet, breakfast"
6,20,19,"guest, caller, teachers, climate, chinese, poverty, opportunities, century, african","guns, veterans, pope, mental, background, assault, memorial, tragedy, giffords","melissa, tha, thh, tte, thi, dot, ing, ere, thee"
24,25,6,"obamacare, neil, irs, healthcare, lou, gerri, affordable, wage, stuart","gingrich, rick, newt, iowa, santorum, perry, cain, hampshire, ron","guest, caller, teachers, climate, chinese, poverty, opportunities, century, african"
20,3,18,"guns, veterans, pope, mental, background, assault, memorial, tragedy, giffords","gonna, que, kitchen, color, las, hoveround, para, chair, una","jon, martha, supplement, aarp, jenna, lifelock, identity, guide, nasa"
5,5,8,"cnn, wolf, cymbalta, anderson, enbrel, infections, newsroom, boston, carol","cnn, wolf, cymbalta, anderson, enbrel, infections, newsroom, boston, carol","bowl, tiger, olympic, olympics, nfl, coach, golf, woods, gold"
21,4,15,"immigration, border, fbi, qaeda, terrorist, megyn, terror, enforcement, terrorism","tavis, kennedy, film, lincoln, character, art, audience, movies, song","supreme, authority, commission, testimony, agencies, review, panel, oversight, institutions"
0,23,6,"abc, ship, haiti, passengers, earthquake, pilot, lunesta, aircraft, airlines","cialis, chantix, celebrex, arthritis, bleeding, stomach, allergic, christie, aspirin","guest, caller, teachers, climate, chinese, poverty, opportunities, century, african"
17,24,15,"baseball, nbc, league, giants, score, inning, hits, yards, animals","obamacare, neil, irs, healthcare, lou, gerri, affordable, wage, stuart","supreme, authority, commission, testimony, agencies, review, panel, oversight, institutions"
22,18,15,"marriage, gay, religious, religion, supreme, faith, catholic, newshour, pbs","jon, martha, supplement, aarp, jenna, lifelock, identity, guide, nasa","supreme, authority, commission, testimony, agencies, review, panel, oversight, institutions"
28,7,12,"boehner, fiscal, ceiling, ryan, compromise, cliff, revenue, stimulus, trillion","gulf, cbs, advair, spill, copd, tdd, symbicort, medicines, lung","syria, israel, egypt, russia, regime, syrian, opposition, assad, russian"
9,23,6,"delicious, nbc, calories, fiber, wedding, chicken, honey, sweet, breakfast","cialis, chantix, celebrex, arthritis, bleeding, stomach, allergic, christie, aspirin","guest, caller, teachers, climate, chinese, poverty, opportunities, century, african"
23,10,9,"cialis, chantix, celebrex, arthritis, bleeding, stomach, allergic, christie, aspirin","hurricane, flooding, flood, tornado, island, sandy, river, storms, tropical","delicious, nbc, calories, fiber, wedding, chicken, honey, sweet, breakfast"
